process_id,volume,automation_rate,avg_handling_time,error_rate,customer_satisfaction,cost_per_case,recommended_action,predicted_action
17,3731,0.9,23.3,0.227,3.82,12.62,no_action,no_action
8,4651,0.16,18.6,0.06,3.48,1.32,no_action,no_action
10,3135,0.55,21.4,0.117,4.15,10.83,no_action,no_action
2,4076,0.85,11.8,0.113,2.77,16.55,no_action,no_action
19,326,0.17,40.2,0.118,4.09,1.37,no_action,no_action
9,3377,0.8,21.4,0.156,3.75,7.74,no_action,no_action
7,3256,0.4,39.9,0.117,3.52,5.99,no_action,no_action
4,803,0.37,6.5,0.112,4.88,2.01,no_action,no_action
18,3649,0.93,44.5,0.119,3.81,12.5,no_action,no_action
13,4346,0.27,21.1,0.148,3.05,5.36,increase_automation,increase_automation
11,3733,0.69,4.1,0.134,3.65,18.83,no_action,no_action
4,3567,0.8,3.6,0.214,4.8,21.35,no_action,no_action
4,3568,0.14,34.1,0.012,2.94,14.09,increase_automation,increase_automation
10,3997,0.67,30.3,0.208,3.03,24.56,improve_quality,improve_quality
5,1992,0.91,36.5,0.211,2.53,11.81,improve_quality,improve_quality
9,3061,0.21,6.5,0.071,2.54,13.32,no_action,no_action
3,3676,0.86,3.5,0.116,4.57,24.74,no_action,no_action
17,3617,0.61,23.9,0.11,4.33,6.56,no_action,no_action
3,1845,0.62,18.7,0.055,3.39,23.62,no_action,no_action
16,1405,0.62,21.9,0.099,4.25,2.03,no_action,no_action
4,3230,0.35,44.6,0.011,3.49,11.71,increase_automation,increase_automation
18,3072,0.89,43.7,0.069,4.88,2.68,no_action,no_action
17,3272,0.91,42.5,0.204,4.92,18.5,no_action,no_action
7,2054,0.63,35.7,0.071,3.48,15.6,no_action,no_action
5,4221,0.77,17.3,0.205,4.64,17.96,no_action,no_action
12,4862,0.62,19.7,0.133,4.43,9.99,no_action,no_action
17,2908,0.51,25.6,0.22,3.27,9.87,improve_quality,improve_quality
13,3702,0.66,37.7,0.144,3.08,2.09,no_action,no_action
3,1532,0.57,5.0,0.007,3.65,9.4,no_action,no_action
9,401,0.61,20.2,0.169,4.45,23.3,no_action,no_action
17,3707,0.77,5.6,0.011,4.9,10.1,no_action,no_action
17,4412,0.51,24.1,0.113,4.41,20.95,no_action,no_action
16,774,0.13,40.7,0.232,4.64,21.22,no_action,no_action
13,736,0.24,35.6,0.041,4.01,9.96,no_action,no_action
19,1825,0.47,11.8,0.097,4.59,16.17,no_action,no_action
17,2322,0.72,44.0,0.182,4.46,3.29,no_action,no_action
4,585,0.6,30.7,0.221,3.44,3.49,improve_quality,improve_quality
12,3481,0.65,2.4,0.168,3.88,2.17,no_action,no_action
9,674,0.51,13.0,0.065,4.51,14.94,no_action,no_action
19,617,0.62,13.2,0.169,2.62,11.23,improve_quality,improve_quality
12,3800,0.38,5.0,0.074,4.52,14.15,no_action,no_action
9,1154,0.5,43.3,0.18,2.94,13.51,improve_quality,improve_quality
7,1405,0.73,22.6,0.239,3.79,9.4,no_action,no_action
14,4959,0.84,40.5,0.18,4.52,17.26,no_action,no_action
19,4320,0.47,15.9,0.216,3.13,19.2,improve_quality,improve_quality
15,2190,0.14,7.4,0.001,3.11,1.35,no_action,no_action
16,3772,0.24,22.4,0.179,3.51,5.97,increase_automation,increase_automation
5,4580,0.12,6.9,0.207,4.74,18.12,no_action,no_action
3,4358,0.66,22.9,0.01,2.5,10.28,no_action,no_action
12,4957,0.38,41.6,0.218,4.75,16.9,increase_automation,increase_automation
4,2913,0.56,24.4,0.064,2.88,9.33,no_action,no_action
16,2403,0.52,28.5,0.166,4.98,10.38,no_action,no_action
7,3320,0.17,8.7,0.2,4.89,4.81,no_action,no_action
13,1166,0.44,3.9,0.166,3.74,7.2,no_action,no_action
10,3632,0.29,6.8,0.023,3.78,15.53,no_action,no_action
7,888,0.46,27.7,0.149,3.7,11.4,no_action,no_action
14,4443,0.27,6.1,0.137,4.09,19.58,no_action,no_action
5,3901,0.81,18.2,0.225,2.73,21.46,improve_quality,improve_quality
3,541,0.25,25.7,0.101,2.58,14.0,no_action,no_action
11,1924,0.92,18.7,0.08,2.64,19.2,no_action,no_action
11,4622,0.45,9.0,0.187,3.61,8.37,no_action,no_action
18,1992,0.82,13.8,0.103,3.19,10.96,no_action,no_action
15,1959,0.63,41.9,0.162,4.06,18.11,no_action,no_action
12,3412,0.73,31.1,0.162,4.98,10.27,no_action,no_action
9,1189,0.75,23.3,0.222,3.47,15.12,improve_quality,improve_quality
10,2462,0.53,2.5,0.15,3.93,5.45,no_action,no_action
12,2682,0.56,44.7,0.126,3.54,15.39,no_action,no_action
17,1151,0.54,30.9,0.035,4.62,21.68,no_action,no_action
6,922,0.6,15.6,0.029,4.76,21.85,no_action,no_action
7,3589,0.12,39.8,0.039,4.69,18.38,increase_automation,increase_automation
14,2279,0.44,13.1,0.043,4.94,18.9,no_action,no_action
13,2917,0.62,25.4,0.159,2.57,14.39,improve_quality,improve_quality
8,2532,0.61,29.4,0.185,4.6,15.03,no_action,no_action
10,3576,0.77,11.5,0.132,4.38,4.21,no_action,no_action
9,4724,0.66,44.1,0.207,3.07,11.65,improve_quality,improve_quality
18,1700,0.94,34.2,0.248,4.89,11.82,no_action,no_action
2,485,0.34,26.0,0.205,2.87,24.0,improve_quality,improve_quality
5,3695,0.41,9.8,0.174,4.2,11.35,no_action,no_action
5,2265,0.43,4.3,0.133,3.06,14.18,no_action,no_action
6,968,0.5,15.8,0.112,3.58,13.8,no_action,no_action
19,3257,0.81,34.4,0.021,4.3,16.28,no_action,no_action
8,4489,0.3,13.6,0.1,3.91,18.96,no_action,no_action
16,2361,0.76,25.2,0.228,3.57,6.4,no_action,no_action
13,3493,0.44,33.3,0.202,3.32,13.69,improve_quality,improve_quality
1,1146,0.61,6.6,0.054,4.6,20.82,no_action,no_action
17,3535,0.64,31.5,0.117,2.86,12.11,no_action,no_action
7,4350,0.42,6.0,0.204,3.58,7.68,no_action,no_action
13,1681,0.54,43.5,0.017,4.76,16.71,no_action,no_action
4,2101,0.45,23.0,0.097,4.61,20.77,no_action,no_action
4,3651,0.16,8.5,0.213,3.5,2.52,no_action,no_action
